dataset,channel,N100_amp,N100_lat_ms,N100_fwhm_ms,N200_amp,N200_lat_ms,N200_fwhm_ms,P300_amp,P300_lat_ms,P300_fwhm_ms,R2,RMSE,fit_status
VisualCogA_Task-1,Fz,-1.2102945889153247,131.24302012505612,23.550000000000004,-1.5665531054926152,247.93393069871138,38.47904490877849,7.450018748886836,338.6731036349168,97.62480846570705,0.571807173471063,2.2246521246885234,gaussian
VisualCogA_Task-1,F3,-3.4872091961423455,118.69505931803265,50.32887526208427,-5.399125049785579,242.2170937180527,69.04825624739111,3.1421449287897874,348.5424693519653,200.2888326555074,0.6584234861103633,1.303766423118421,gaussian
VisualCogA_Task-1,F4,-3.646921782129524,130.99240066985095,31.92078265991976,-4.744714549565457,252.348229676216,68.07730381096147,5.149742669450181,360.7119245466778,185.1604903759278,0.6882125342372669,1.9871444590867142,gaussian
VisualCogA_Task-2,Fz,-22.15762365680988,80.00000000000001,84.80052004012694,-149.99999999999997,259.99999999999994,188.39999999999998,122.08721137490471,259.3862396440002,153.02385886988716,0.7466337828243862,15.426072506005237,gaussian
VisualCogA_Task-2,F3,-21.44919051873283,90.8853838992768,124.09093944374979,-27.29948215014308,259.9999997194299,188.3999999510598,1.1313289799424105e-14,519.9999999886605,353.2499999801888,0.7626665865532206,12.424587422607237,gaussian
VisualCogA_Task-2,F4,-33.06346801332955,86.12132137439936,130.73790728767804,-40.08218932642336,259.9999998713718,188.39999994635858,6.693643254592085e-15,518.65,47.100000000000726,0.6619921247222482,20.311007662662654,gaussian
VisualCogB_Task-1,Fz,-2.1124192524582694e-29,106.30734694593038,23.55000074603927,-0.1314166924992992,259.99999999999994,57.20784229860837,2.9406592195130425,333.5127251850266,47.10000000000001,0.6406758803687661,6.360200667868238,gaussian
VisualCogB_Task-1,F3,-1.1486408564526671,179.99995151860037,36.594665408673926,-4.944182429201872,252.54761862562148,101.50389453398705,1.2118865362718216e-33,519.9993380997819,47.10002275902884,0.7192746633170337,5.407620779770125,gaussian
VisualCogB_Task-1,F4,-2.8690375453691153e-16,105.08461608465814,29.595989245813584,-4.790924782465504e-18,259.78013114862193,35.325048396810075,3.280433942907755,330.78705360389085,47.10000034601688,0.5250462093074638,8.33920897653859,gaussian
VisualCogB_Task-2,Fz,-33.74443615555236,89.38963627373549,141.2999998341288,-44.70621204139881,259.9999999996551,188.3999999999999,3.720658134878823e-13,519.9999999999478,353.2499999919151,0.6474227152069325,22.29795587810609,gaussian
VisualCogB_Task-2,F3,-0.7974784467800268,179.98940794061267,23.692190036233143,-4.615136870994167,230.24866427200882,60.97408337588256,2.275490946009064e-65,299.22175160918243,141.3,0.15748683205127512,14.466734747317663,gaussian
VisualCogB_Task-2,F4,-25.01398225593428,80.00000000000001,72.55548668297646,-149.99999999999997,259.99999999999994,188.39999999999998,119.23956200756206,261.9692962971061,138.50823137425905,0.6234367836462135,23.747515942539287,gaussian
